EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:44:14.2237107,,2021-01-01 12:44:14.2237107,,2021-01-01 12:44:14.2237107,,2021-01-01 12:44:14.2237107,,0,1070358,257,,,
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,0,1072327,258,,,
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,0,1071161,258,,$TXF_DATA,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,0,2639159,258,,,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,2021-01-01 12:44:14.2247098,,0,2639159,258,,,
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:44:14.2257080,,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2257080,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2257080,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2257080,0,1075145,259,,,
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:44:14.2277092,,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2277092,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2277092,2021-01-01 12:44:19.8792157,2021-01-01 12:44:14.2277092,0,1075107,260,,,
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:44:14.2297079,,2021-01-01 12:44:14.2297079,,2021-01-01 12:44:14.2297079,,2021-01-01 12:44:14.2297079,,0,1072430,260,,,
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:44:14.2367093,,2021-01-01 12:46:43.0207826,2021-01-01 12:44:14.2367093,2021-01-01 12:46:43.0207826,2021-01-01 12:44:14.2367093,2021-01-01 12:51:08.8751446,2021-01-01 12:44:14.2367093,0,2641869,261,,,
37,1,True,36,1,.\System Volume Information,$CBT2,,4096,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2021-01-01 12:44:14.2377091,,2021-01-01 12:44:14.2377091,,2021-01-01 12:44:14.2377091,,2021-01-01 12:44:19.8752153,2021-01-01 12:44:14.2377091,0,1075249,262,,,
38,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:44:14.2407094,,2021-01-01 12:44:14.2427098,2021-01-01 12:44:14.2407094,2021-01-01 12:44:14.2427098,2021-01-01 12:44:14.2407094,2021-01-01 12:46:43.0357821,2021-01-01 12:44:14.2407094,0,2641203,263,,,
39,1,True,36,1,.\System Volume Information,IndexerVolumeGuid,,76,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:44:17.9832170,,2021-01-01 12:44:17.9832170,,2021-01-01 12:44:17.9832170,,2021-01-01 12:46:43.3827828,2021-01-01 12:44:17.9832170,0,2641237,263,,,
40,1,True,36,1,.\System Volume Information,ClientRecoveryPasswordRotation,,0,1,,True,False,False,False,False,False,None,Posix,2021-01-01 12:46:43.0197819,,2021-01-01 12:46:43.0197819,,2021-01-01 12:46:43.0207826,2021-01-01 12:46:43.0197819,2021-01-01 12:46:43.0207826,2021-01-01 12:46:43.0197819,0,2640304,265,,,
41,1,True,36,1,.\System Volume Information,AadRecoveryPasswordDelete,,0,1,,True,False,False,False,False,False,IsDirectory,Posix,2021-01-01 12:46:43.0207826,,2021-01-01 12:46:43.0207826,,2021-01-01 12:46:43.0207826,,2021-01-01 12:46:43.0207826,,0,2640425,264,,,
42,1,True,11,11,.\$Extend,$UsnJrnl,,0,1,,False,True,False,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,0,2641107,257,,,
42,1,True,11,11,.\$Extend,$UsnJrnl:$J,,0,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,0,2641107,257,,,
42,1,True,11,11,.\$Extend,$UsnJrnl:$Max,,32,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,2021-01-01 12:46:48.4097831,,0,2641107,257,,,
