EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,1070227,257,,,
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-13 14:27:05.3237064,2020-12-04 13:33:12.0663534,0,2114909,257,,,
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0723545,2020-12-04 13:33:12.0673542,2020-12-04 13:33:12.0723545,2020-12-04 13:33:12.0673542,2020-12-04 13:33:12.0723545,2020-12-04 13:33:12.0673542,0,1074367,258,,,
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,0,1071114,258,,$TXF_DATA,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,0,2114873,258,,,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,2020-12-04 13:33:12.0673542,,0,2114873,258,,,
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2020-12-04 13:33:12.0683542,,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0683542,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0683542,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0683542,1608,1092635,259,,,
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2020-12-04 13:33:12.0703540,,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0703540,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0703540,2020-12-07 13:27:22.1105039,2020-12-04 13:33:12.0703540,0,1092501,260,,,
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2020-12-04 13:33:12.0723545,,2020-12-04 13:33:12.0723545,,2020-12-04 13:33:12.0723545,,2020-12-04 13:33:12.0723545,,0,1072378,260,,,
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0793533,,2020-12-04 16:32:57.6997022,2020-12-04 13:33:12.0793533,2020-12-13 14:27:05.3257051,2020-12-04 13:33:12.0793533,2020-12-13 14:56:32.3043075,2020-12-04 13:33:12.0793533,1808,2188050,261,,,
