EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070322,257,,,
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,0,1075041,258,,,
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,1071122,258,,$TXF_DATA,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,2639197,258,,,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,2639197,258,,,
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:40.8972131,,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,352,1076602,259,,,
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:40.8992109,,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8992109,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8992109,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8992109,0,1076477,260,,,
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:40.9002117,,2021-01-01 13:08:40.9012109,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.9012109,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.9012109,2021-01-01 13:08:40.9002117,0,1075951,260,,,
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.9082122,,2021-01-01 13:09:03.2245329,2021-01-01 13:08:40.9082122,2021-01-01 13:09:03.2245329,2021-01-01 13:08:40.9082122,2021-01-01 13:09:37.4396929,2021-01-01 13:08:40.9082122,552,2642304,261,,,
37,1,True,36,1,.\System Volume Information,$CBT2,,4096,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2021-01-01 13:08:40.9082122,,2021-01-01 13:08:40.9092135,2021-01-01 13:08:40.9082122,2021-01-01 13:08:40.9092135,2021-01-01 13:08:40.9082122,2021-01-01 13:08:59.1605302,2021-01-01 13:08:40.9082122,0,1076684,262,,,
38,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:40.9112115,,2021-01-01 13:08:40.9132134,2021-01-01 13:08:40.9112115,2021-01-01 13:08:40.9132134,2021-01-01 13:08:40.9112115,2021-01-01 13:09:03.2235327,2021-01-01 13:08:40.9112115,0,2641638,263,,,
39,1,True,36,1,.\System Volume Information,IndexerVolumeGuid,,76,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:43.6762122,,2021-01-01 13:08:43.6762122,,2021-01-01 13:08:43.6762122,,2021-01-01 13:09:03.5345309,2021-01-01 13:08:43.6762122,0,2641672,263,,,
40,1,True,11,11,.\$Extend,$UsnJrnl,,1368,1,,False,True,False,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,0,2641144,257,,,
40,1,True,11,11,.\$Extend,$UsnJrnl:$J,,1368,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,0,2641144,257,,,
40,1,True,11,11,.\$Extend,$UsnJrnl:$Max,,32,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,2021-01-01 13:08:47.0383111,,0,2641144,257,,,
41,1,True,36,1,.\System Volume Information,ClientRecoveryPasswordRotation,,0,1,,True,False,False,False,False,False,None,Posix,2021-01-01 13:09:03.2225333,,2021-01-01 13:09:03.2225333,,2021-01-01 13:09:03.2235327,2021-01-01 13:09:03.2225333,2021-01-01 13:09:03.2245329,2021-01-01 13:09:03.2225333,1024,2640883,265,,,
42,1,True,36,1,.\System Volume Information,AadRecoveryPasswordDelete,,0,1,,True,False,False,False,False,False,IsDirectory,Posix,2021-01-01 13:09:03.2245329,,2021-01-01 13:09:03.2245329,,2021-01-01 13:09:03.2245329,,2021-01-01 13:09:03.2245329,,1256,2641163,264,,,
