EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
9,9,True,5,5,.,$Secure,,263328,1,,False,True,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,0,2640537,257,,,
9,9,True,5,5,.,$Secure:$SDS,,263328,1,,False,False,True,False,False,False,Hidden|System|IsIndexView,DosWindows,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,0,2640537,257,,,
10,10,True,5,5,.,$UpCase,,131072,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,0,1070201,256,,,
10,10,True,5,5,.,$UpCase:$Info,,32,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,0,1070201,256,,,
11,11,True,5,5,.,$Extend,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,2021-01-01 12:41:50.4295304,,0,1074748,257,,,
24,1,True,11,11,.\$Extend,$Quota,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070218,257,,,
25,1,True,11,11,.\$Extend,$ObjId,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070252,257,,,
26,1,True,11,11,.\$Extend,$Reparse,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070235,257,,,
27,1,True,11,11,.\$Extend,$RmMetadata,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070936,258,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070269,257,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070269,257,,,
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,2021-01-01 12:41:50.4525345,,0,1070358,257,,,
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4585562,2021-01-01 12:41:50.4535345,2021-01-01 12:41:50.4585562,2021-01-01 12:41:50.4535345,2021-01-01 12:41:50.4585562,2021-01-01 12:41:50.4535345,0,1075064,258,,,
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,0,1071161,258,,$TXF_DATA,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,0,2639197,258,,,
