CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-01-01 13:09:37.8436906,D:\$MFT,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$MFT,262144,53278743E7F74B4AFC3A65B32C388B9E07B3B136,True,2021-01-01 13:08:40.8752119,2021-01-01 13:08:40.8752119,2021-01-01 13:08:40.8752119,00:00:00.0019991
2021-01-01 13:09:37.9077246,D:\$LogFile,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$LogFile,2097152,7718B9FB7D31BE308915C9CB7FFB7FC47BE7E968,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.0070013
2021-01-01 13:09:37.9156913,D:\$Extend\$UsnJrnl:$J,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Extend\$J,1368,8B7E5C33151328A368CE00B4C40E985A77059C21,True,2021-01-01 13:08:47.0383111,2021-01-01 13:08:47.0383111,2021-01-01 13:08:47.0383111,00:00:00.0009997
2021-01-01 13:09:37.9206912,D:\$Extend\$UsnJrnl:$Max,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Extend\$Max,32,EA783675B08BF6CE056F9402D6279C3C2A7B8E17,True,2021-01-01 13:08:47.0383111,2021-01-01 13:08:47.0383111,2021-01-01 13:08:47.0383111,00:00:00.0009976
2021-01-01 13:09:37.9336916,D:\$Secure:$SDS,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS,263296,BAB412FA365535D306CD3F844334E902F59107F0,True,2021-01-01 13:08:40.8752119,2021-01-01 13:08:40.8752119,2021-01-01 13:08:40.8752119,00:00:00.0010009
2021-01-01 13:09:37.9406897,D:\$Boot,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Boot,8192,B2D1D92D164ADDA3A23C07ED51CAE81380C43A0C,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.0009995
2021-01-01 13:09:37.9646903,D:\$Extend\$RmMetadata\$TxfLog\$Tops:$T,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Extend\$RmMetadata\$TxfLog\$T,1048576,3B71F43FF30F4B15B5CD85DD9E95EBC7E84EB5A3,True,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.8952104,00:00:00.0039983
