CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-01-01 12:46:38.1015887,D:\$MFT,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$MFT,262144,8B3FA647973D2941873DA37AF1E227F10564DF8A,True,2021-01-01 12:41:50.4295304,2021-01-01 12:41:50.4295304,2021-01-01 12:41:50.4295304,00:00:00.0020004
2021-01-01 12:46:38.1755878,D:\$LogFile,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$LogFile,2097152,8B01C89F80EC9933DF15F32157EE647D5E60D773,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.0060006
2021-01-01 12:46:38.1885899,D:\$Extend\$UsnJrnl:$J,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J,1368,5EF3E6E7A1D283AB2B6288E78705132D10ACCB9F,True,2021-01-01 12:41:56.5419027,2021-01-01 12:41:56.5419027,2021-01-01 12:41:56.5419027,00:00:00.0019999
2021-01-01 12:46:38.1945883,D:\$Extend\$UsnJrnl:$Max,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$Max,32,2EAA29B246801CE2EE277369A29F19F2729168D0,True,2021-01-01 12:41:56.5419027,2021-01-01 12:41:56.5419027,2021-01-01 12:41:56.5419027,00:00:00.0010001
2021-01-01 12:46:38.2095889,D:\$Secure:$SDS,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS,263328,0456A35A8C7B2E9EDCFDF1D31C8A4426ADF18B3F,True,2021-01-01 12:41:50.4295304,2021-01-01 12:41:50.4295304,2021-01-01 12:41:50.4295304,00:00:00.0020013
2021-01-01 12:46:38.2195888,D:\$Boot,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Boot,8192,D23FC3FCD5A6E4F05CC3720223350BE1515DC3CF,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.0020002
2021-01-01 12:46:38.2475880,D:\$Extend\$RmMetadata\$TxfLog\$Tops:$T,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$RmMetadata\$TxfLog\$T,1048576,3B71F43FF30F4B15B5CD85DD9E95EBC7E84EB5A3,True,2021-01-01 12:41:50.4535345,2021-01-01 12:41:50.4535345,2021-01-01 12:41:50.4535345,00:00:00.0039974
